East,South,Length,Width,Segment,Location,Area,artifact,count
852.53,427.6,20,15.5,3,Outside,310,Points,1
852.53,427.6,20,15.5,3,Outside,310,Abraders,0
852.53,427.6,20,15.5,3,Outside,310,Discs,0
852.53,427.6,20,15.5,3,Outside,310,Earplugs,0
852.53,427.6,20,15.5,3,Outside,310,Effigies,0
852.53,427.6,20,15.5,3,Outside,310,Ceramics,2
852.53,427.6,20,15.5,3,Outside,310,total,3
886.21,449.29,14.5,12.5,3,Outside,181.25,Points,0
886.21,449.29,14.5,12.5,3,Outside,181.25,Abraders,0
886.21,449.29,14.5,12.5,3,Outside,181.25,Discs,0
886.21,449.29,14.5,12.5,3,Outside,181.25,Earplugs,0
886.21,449.29,14.5,12.5,3,Outside,181.25,Effigies,0
886.21,449.29,14.5,12.5,3,Outside,181.25,Ceramics,1
886.21,449.29,14.5,12.5,3,Outside,181.25,total,1
963.08,301.56,10,11,3,Outside,110,Points,0
963.08,301.56,10,11,3,Outside,110,Abraders,0
963.08,301.56,10,11,3,Outside,110,Discs,0
963.08,301.56,10,11,3,Outside,110,Earplugs,0
963.08,301.56,10,11,3,Outside,110,Effigies,0
963.08,301.56,10,11,3,Outside,110,Ceramics,0
963.08,301.56,10,11,3,Outside,110,total,0
979.24,271.86,12,13,3,Outside,156,Points,0
979.24,271.86,12,13,3,Outside,156,Abraders,0
979.24,271.86,12,13,3,Outside,156,Discs,0
979.24,271.86,12,13,3,Outside,156,Earplugs,0
979.24,271.86,12,13,3,Outside,156,Effigies,0
979.24,271.86,12,13,3,Outside,156,Ceramics,0
979.24,271.86,12,13,3,Outside,156,total,0
1013.88,181.97,13,11,2,Outside,143,Points,0
1013.88,181.97,13,11,2,Outside,143,Abraders,0
1013.88,181.97,13,11,2,Outside,143,Discs,0
1013.88,181.97,13,11,2,Outside,143,Earplugs,0
1013.88,181.97,13,11,2,Outside,143,Effigies,0
1013.88,181.97,13,11,2,Outside,143,Ceramics,0
1013.88,181.97,13,11,2,Outside,143,total,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Points,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Abraders,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Discs,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Earplugs,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Effigies,0
1024.97,170.05,11.5,12.5,2,Outside,143.75,Ceramics,1
1024.97,170.05,11.5,12.5,2,Outside,143.75,total,1
1028.67,147.77,13.5,13.5,2,Outside,182.25,Points,2
1028.67,147.77,13.5,13.5,2,Outside,182.25,Abraders,0
1028.67,147.77,13.5,13.5,2,Outside,182.25,Discs,0
1028.67,147.77,13.5,13.5,2,Outside,182.25,Earplugs,0
1028.67,147.77,13.5,13.5,2,Outside,182.25,Effigies,1
1028.67,147.77,13.5,13.5,2,Outside,182.25,Ceramics,1
1028.67,147.77,13.5,13.5,2,Outside,182.25,total,4
1005.9,106.73,14.5,14.5,2,Outside,210.25,Points,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,Abraders,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,Discs,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,Earplugs,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,Effigies,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,Ceramics,0
1005.9,106.73,14.5,14.5,2,Outside,210.25,total,0
990.92,332.04,12.5,13,3,Outside,162.5,Points,0
990.92,332.04,12.5,13,3,Outside,162.5,Abraders,0
990.92,332.04,12.5,13,3,Outside,162.5,Discs,0
990.92,332.04,12.5,13,3,Outside,162.5,Earplugs,0
990.92,332.04,12.5,13,3,Outside,162.5,Effigies,0
990.92,332.04,12.5,13,3,Outside,162.5,Ceramics,0
990.92,332.04,12.5,13,3,Outside,162.5,total,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Points,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Abraders,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Discs,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Earplugs,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Effigies,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,Ceramics,0
1001.42,314.07,12.5,14.5,3,Outside,181.25,total,0
1062.73,176.89,11,12,2,Outside,132,Points,1
1062.73,176.89,11,12,2,Outside,132,Abraders,0
1062.73,176.89,11,12,2,Outside,132,Discs,0
1062.73,176.89,11,12,2,Outside,132,Earplugs,0
1062.73,176.89,11,12,2,Outside,132,Effigies,0
1062.73,176.89,11,12,2,Outside,132,Ceramics,1
1062.73,176.89,11,12,2,Outside,132,total,2
893.41,245.09,16,17,1,Inside,272,Points,8
893.41,245.09,16,17,1,Inside,272,Abraders,0
893.41,245.09,16,17,1,Inside,272,Discs,1
893.41,245.09,16,17,1,Inside,272,Earplugs,0
893.41,245.09,16,17,1,Inside,272,Effigies,0
893.41,245.09,16,17,1,Inside,272,Ceramics,5
893.41,245.09,16,17,1,Inside,272,total,14
880.37,266.97,17.5,16.5,1,Inside,288.85,Points,8
880.37,266.97,17.5,16.5,1,Inside,288.85,Abraders,0
880.37,266.97,17.5,16.5,1,Inside,288.85,Discs,1
880.37,266.97,17.5,16.5,1,Inside,288.85,Earplugs,0
880.37,266.97,17.5,16.5,1,Inside,288.85,Effigies,0
880.37,266.97,17.5,16.5,1,Inside,288.85,Ceramics,3
880.37,266.97,17.5,16.5,1,Inside,288.85,total,12
924.94,266.19,21,22.5,1,Inside,472.5,Points,17
924.94,266.19,21,22.5,1,Inside,472.5,Abraders,0
924.94,266.19,21,22.5,1,Inside,472.5,Discs,1
924.94,266.19,21,22.5,1,Inside,472.5,Earplugs,0
924.94,266.19,21,22.5,1,Inside,472.5,Effigies,0
924.94,266.19,21,22.5,1,Inside,472.5,Ceramics,5
924.94,266.19,21,22.5,1,Inside,472.5,total,23
1011.93,300.97,13.5,14.5,3,Outside,195.75,Points,2
1011.93,300.97,13.5,14.5,3,Outside,195.75,Abraders,0
1011.93,300.97,13.5,14.5,3,Outside,195.75,Discs,1
1011.93,300.97,13.5,14.5,3,Outside,195.75,Earplugs,0
1011.93,300.97,13.5,14.5,3,Outside,195.75,Effigies,0
1011.93,300.97,13.5,14.5,3,Outside,195.75,Ceramics,0
1011.93,300.97,13.5,14.5,3,Outside,195.75,total,3
1028.09,230.23,15.5,16,3,Outside,248,Points,1
1028.09,230.23,15.5,16,3,Outside,248,Abraders,0
1028.09,230.23,15.5,16,3,Outside,248,Discs,0
1028.09,230.23,15.5,16,3,Outside,248,Earplugs,0
1028.09,230.23,15.5,16,3,Outside,248,Effigies,0
1028.09,230.23,15.5,16,3,Outside,248,Ceramics,0
1028.09,230.23,15.5,16,3,Outside,248,total,1
849.23,99.89,12,13.5,2,Outside,162,Points,2
849.23,99.89,12,13.5,2,Outside,162,Abraders,0
849.23,99.89,12,13.5,2,Outside,162,Discs,1
849.23,99.89,12,13.5,2,Outside,162,Earplugs,0
849.23,99.89,12,13.5,2,Outside,162,Effigies,0
849.23,99.89,12,13.5,2,Outside,162,Ceramics,0
849.23,99.89,12,13.5,2,Outside,162,total,3
840.86,105.56,NA,14.5,2,Outside,195.75,Points,2
840.86,105.56,NA,14.5,2,Outside,195.75,Abraders,0
840.86,105.56,NA,14.5,2,Outside,195.75,Discs,0
840.86,105.56,NA,14.5,2,Outside,195.75,Earplugs,0
840.86,105.56,NA,14.5,2,Outside,195.75,Effigies,0
840.86,105.56,NA,14.5,2,Outside,195.75,Ceramics,1
840.86,105.56,NA,14.5,2,Outside,195.75,total,3
948.88,173.76,4,5,2,Outside,20,Points,0
948.88,173.76,4,5,2,Outside,20,Abraders,0
948.88,173.76,4,5,2,Outside,20,Discs,NA
948.88,173.76,4,5,2,Outside,20,Earplugs,0
948.88,173.76,4,5,2,Outside,20,Effigies,0
948.88,173.76,4,5,2,Outside,20,Ceramics,0
948.88,173.76,4,5,2,Outside,20,total,0
905.08,122.36,12,13,2,Outside,156,Points,NA
905.08,122.36,12,13,2,Outside,156,Abraders,0
905.08,122.36,12,13,2,Outside,156,Discs,0
905.08,122.36,12,13,2,Outside,156,Earplugs,0
905.08,122.36,12,13,2,Outside,156,Effigies,0
905.08,122.36,12,13,2,Outside,156,Ceramics,0
905.08,122.36,12,13,2,Outside,156,total,0
780.91,317.78,13.5,11.5,1,Inside,155.25,Points,1
780.91,317.78,13.5,11.5,1,Inside,155.25,Abraders,0
780.91,317.78,13.5,11.5,1,Inside,155.25,Discs,0
780.91,317.78,13.5,11.5,1,Inside,155.25,Earplugs,0
780.91,317.78,13.5,11.5,1,Inside,155.25,Effigies,0
780.91,317.78,13.5,11.5,1,Inside,155.25,Ceramics,0
780.91,317.78,13.5,11.5,1,Inside,155.25,total,1
